CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
167;MT;70405;A;9;0;;16.024;12.153;0.14692;Rosa;132;
165;MT;70405;A;9;0;;16.024;12.153;0.14692;Azul;131;
170;MT;70405;A;9;0;;16.024;12.153;0.14692;Amarelo;129;
174;MT;70406;E;2;0;;22.181;268.569;0.13379;Amarelo;129;
143;MT;70501;E;11;0;;268.015;208.631;0.07696;Cinza;130;
178;MT;70406;E;2;0;;22.181;268.569;0.13379;Rosa;132;
174;MT;70406;E;2;0;;22.181;268.569;0.13379;Azul;131;
144;MT;70698;E;7;0;;140.069;232.577;0.10823;Cinza;130;
141;MT;70407;B;12;0;;178.608;0.80144;0.18101;Azul;131;
145;MT;70407;B;12;0;;178.608;0.80144;0.18101;Rosa;132;
146;MT;70407;B;12;0;;178.608;0.80144;0.18101;Amarelo;129;
152;MT;70423;E;15;0;;142.032;0.78256;0.16611;Azul;131;
145;MT;71238;B;27;0;;162.432;182.815;0.21852;Cinza;130;
149;MT;70423;E;15;0;;142.032;0.78256;0.16611;Rosa;132;
151;MT;70423;E;15;0;;142.032;0.78256;0.16611;Amarelo;129;
161;MT;70432;D;4;0;;220.311;21.416;0.179;Rosa;132;
157;MT;70432;D;4;0;;220.311;21.416;0.179;Amarelo;129;
157;MT;70432;D;4;0;;220.311;21.416;0.179;Azul;131;
146;MT;72783;C;11;0;;199.058;158.634;0.17168;Cinza;130;
66;CN;70433;C;21;0;;289.783;0.65233;0.1128;Azul;121;
66;CN;70433;C;21;0;;289.783;0.65233;0.1128;Rosa;124;
55;CN;70605;C;8;0;;116.139;0.22893;0.08029;Branco;133;
64;CN;70433;C;21;0;;289.783;0.65233;0.1128;Amarelo;122;
166;MT;70445;C;28;0;;283.067;145.097;0.18616;Amarelo;129;
147;MT;73124;E;7;0;;12.623;0.61947;0.13382;Cinza;130;
170;MT;70445;C;28;0;;283.067;145.097;0.18616;Rosa;132;
170;MT;70445;C;28;0;;283.067;145.097;0.18616;Azul;131;
1;CH;75504;E;21;0;;321.898;-0.50056;0.36109;Branco;119;
162;MT;70461;D;2;0;;123.541;0.4856;0.05802;Azul;131;
148;MT;72124;C;10;0;;221.598;131.369;0.1587;Cinza;130;
161;MT;70461;D;2;0;;123.541;0.4856;0.05802;Amarelo;129;
155;MT;70461;D;2;0;;123.541;0.4856;0.05802;Rosa;132;
2;CH;70264;E;22;0;;160.553;0.33263;0.09496;Branco;134;
159;MT;70496;A;29;0;;228.103;28.907;0.16055;Cinza;136;
147;MT;70501;E;11;0;;268.015;208.631;0.07696;Rosa;132;
143;MT;70501;E;11;0;;268.015;208.631;0.07696;Amarelo;129;
146;MT;70501;E;11;0;;268.015;208.631;0.07696;Azul;131;
149;MT;72786;B;22;0;;155.058;208.849;0.12411;Cinza;130;
2;CH;71745;E;13;0;;1.981;0.29799;0.14845;Branco;119;
3;CH;73507;C;29;0;;126.169;0.68429;0.08663;Branco;134;
1;CH;75504;E;21;0;;321.898;-0.50056;0.36109;Azul;117;
45;CH;70539;A;30;0;;301.946;0.00146;0.20988;Rosa;120;
3;CH;73764;D;23;0;;0.34715;0.36053;0.02354;Branco;119;
