"area";"selection";"stop";"NIA";"MIA";"min_length";"max_length";"SE";"correlation";"RMSE";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"LC";"PR2";"TF45";45;45;45;45;0,172775784833774;0,912334813741384;0,367063875406724;0,187239372021601;0,00366300366300366;0,3003663003663;0;2;0,122380831456941
"LC";"PR2";"TF20";20;20;20;20;0,224401039233905;0,920281219893835;0,273725409539631;0,0573368984247268;0;0,297924297924298;4;0;0,0849178768592688
"LC";"PR2";"EP30";17,8156288156288;15;15;60;0,245532597226701;0,940211915990217;0,23023311500051;0,0140131683854354;0;0,266178266178266;1;0;0,0666062818759687
"LC";"PR2";"EP30RE015";15,2087912087912;15;15;21;0,278697360570363;0,913801495120809;0,287405236207695;0,048521586730448;0;0,261294261294261;3;0;0,0606195346079739
"MT";"Aleatorio";"TF45";45;45;45;45;0,512916111531059;0,871110780930266;0,451497532240838;0,0859945413401186;0,0366492146596859;0,0999524036173251;0;0;0,0580636651772062
"MT";"Aleatorio";"TF20";20;20;20;20;0,645536080517957;0,792319115275444;0,552961231777202;0,0887894249944616;0,0147548786292242;0,037125178486435;0;0;0,0256395438268443
"MT";"Aleatorio";"EP30";54,6958591147073;60;15;60;0,482471530268499;0,89324278761022;0,411623134351649;0,0681106102181063;0,0395049976201809;0,128986197049024;0;0;0,071578894230778
"MT";"Aleatorio";"EP30RE015";15,3098524512137;15;15;20;0,68445616422023;0,760532711235373;0,587960686273899;0,0910867912326361;0,00809138505473584;0,0295097572584484;0;0;0,0196776994211637
"MT";"MIF";"TF45";45;45;45;45;0,243596813799762;0,960771600652855;0,257829981977984;0,0434336790771231;0;1;487;58;0,426154591107705
"MT";"MIF";"TF20";20;20;20;20;0,31481711454033;0,940919596153288;0,312952255759374;0,0483342668015403;0;1;657;27;0,40068300016243
"MT";"MIF";"EP30";31,5230842455973;20;15;60;0,29018518768144;0,946429090456872;0,296149939236643;0,0374435357032728;0;1;629;41;0,404442712331215
"MT";"MIF";"EP30RE015";15,1737267967634;15;15;20;0,336048530836143;0,935555644142536;0,326715916737136;0,051507346983227;0;1;695;19;0,400637265996893
"MT";"PR-1";"TF45";45;45;45;45;0,282162202492782;0,953943938860666;0,279435393086035;0,0493213325062986;0;0,300333174678724;14;5;0,223374820393443
"MT";"PR-1";"TF20";20;20;20;20;0,345831502844351;0,937519679936815;0,321903519558739;0,054689594251839;0;0,300333174678724;35;2;0,202796021295813
"MT";"PR-1";"EP30";37,2041884816754;34;15;60;0,327188148336178;0,939790431075802;0,317148033360225;0,0551751202164539;0,0014278914802475;0,300333174678724;0;3;0,176204419686374
"MT";"PR-1";"EP30RE015";15,2046644455021;15;15;19;0,37068940576529;0,927409156881324;0,344071491025131;0,0553091221402354;0;0,300333174678724;44;3;0,183820805765264
"MT";"PR0";"TF45";45;45;45;45;0,281896981238323;0,951363398683363;0,286996450247086;0,0488611477397834;0;0,300333174678724;15;9;0,223474458407711
"MT";"PR0";"TF20";20;20;20;20;0,345310375114941;0,934564817387919;0,328273951340081;0,0511110380602715;0;0,300333174678724;35;3;0,204218996824114
"MT";"PR0";"EP30";37,2027605901951;35;15;60;0,327820686761373;0,941202844195639;0,31438162646355;0,058087463001645;0,000951927653498334;0,300333174678724;0;4;0,17536396179811
"MT";"PR0";"EP30RE015";15,2227510709186;15;15;19;0,368816408605353;0,926924172244148;0,34573140451836;0,0502645573660853;0;0,300333174678724;36;4;0,185670016896619
"MT";"PR1";"TF45";45;45;45;45;0,293619115300167;0,950866648972915;0,287412043638436;0,0462496170221919;0,00666349357448834;0,300333174678724;0;3;0,156533802304577
"MT";"PR1";"TF20";20;20;20;20;0,367540284245575;0,925521525192017;0,35170137383803;0,0627385129250515;0,000951927653498334;0,299857210851975;0;0;0,144943354414536
"MT";"PR1";"EP30";37,3255592574964;35;15;60;0,32406868945943;0,94211153363709;0,310537353200047;0,0488672247628127;0,000475963826749167;0,299857210851975;0;0;0,181912711811444
"MT";"PR1";"EP30RE015";15,3260352213232;15;15;20;0,397592925000651;0,916823993986742;0,371086965537277;0,0611645879565394;0;0,300333174678724;1;1;0,123607184984376
"MT";"PR2";"TF45";45;45;45;45;0,304877103287192;0,943943399085651;0,305473375367373;0,0502350124089669;0,0123750594954783;0,300333174678724;0;1;0,13354111222192
"MT";"PR2";"TF20";20;20;20;20;0,384204923445735;0,923239407283535;0,352687815267686;0,0516299141063954;0,002855782960495;0,299857210851975;0;0;0,113345042511657
"MT";"PR2";"EP30";41,6458829128986;42;15;60;0,338966436686643;0,939448503247714;0,315018687499348;0,0444737324789518;0,00618752974773917;0,299857210851975;0;0;0,139510264348301
"MT";"PR2";"EP30RE015";15,6411232746311;15;15;24;0,526377358139736;0,862788532384761;0,462333558979975;0,0692369006714223;0,00571156592099;0,123274631128034;0;0;0,0316109966270036
